Subject,Trial,ItemNo,RT,Accuracy
1,1,1,1502.04,0
1,2,2,402.07,0
1,3,3,866.97,0
1,4,4,463.34,1
1,5,5,801.92,0
1,6,6,705.0,0
1,7,7,735.98,0
1,8,8,1016.3,1
1,9,9,709.18,0
1,10,10,940.85,0
1,11,11,933.02,0
1,12,11011061,1765.94,1
1,13,21021051,850.25,0
1,14,11051051,566.63,0
1,15,11011061,1666.77,0
1,16,14021031,995.21,0
1,17,11051051,1155.99,0
1,18,11052052,390.68,0
1,19,11021021,318.1,0
1,20,14032032,407.35,0
1,21,11022052,1672.52,1
1,22,21022052,1059.69,1
1,23,11061061,433.27,0
1,24,14022032,1116.28,0
1,25,11051051,523.63,0
1,26,11022022,602.26,0
1,27,11092092,703.26,0
1,28,11021021,1316.2,0
1,29,11022022,966.94,0
1,30,24012032,2798.78,1
1,31,14011011,243.08,0
1,32,11011061,1251.5,0
1,33,11092092,702.82,0
1,34,24021031,222.46,0
1,35,13012032,457.98,0
1,36,14022022,652.2,0
1,37,11061092,988.58,0
1,38,11021021,706.29,0
1,39,14012032,1060.68,1
1,40,11061061,871.83,0
1,41,11011011,366.67,0
1,42,11021051,1166.25,0
1,43,11092092,215.3,0
1,44,11022052,409.77,1
1,45,13021021,434.57,0
1,46,11011011,1024.73,0
1,47,11011011,398.69,0
1,48,11092092,839.11,0
1,49,13022022,319.22,0
1,50,14022021,924.03,0
1,51,21021051,1757.47,0
1,52,14011021,642.02,0
1,53,14012012,383.32,0
1,54,24011032,1960.81,1
1,55,13011021,166.77,0
1,56,23011021,751.12,0
1,57,21021051,1716.76,0
1,58,21061092,3308.98,0
1,59,21021051,626.23,0
1,60,23012032,416.61,0
1,61,11052052,350.05,0
1,62,11022022,641.08,0
1,63,14012012,357.03,0
1,64,24011021,201.83,0
1,65,11021021,236.2,0
1,66,14021021,283.35,0
1,67,11011011,866.46,0
1,68,21011061,3515.06,1
1,69,14011021,433.3,1
1,70,13012032,1668.34,0
1,71,13012032,503.22,0
1,72,11092092,451.5,0
1,73,11021051,1154.06,0
1,74,11022022,283.37,0
1,75,13011011,298.09,0
1,76,11022022,588.55,0
1,77,14022032,354.61,0
1,78,11022022,456.77,0
1,79,23011031,460.6,0
1,80,13011032,871.19,0
1,81,11061061,608.54,0
1,82,21061092,1570.17,0
1,83,24011031,889.91,1
1,84,13012031,437.36,0
1,85,13012022,518.94,0
1,86,13021021,1099.62,0
1,87,14021021,416.63,0
1,88,11092092,610.21,0
1,89,23012032,584.56,0
1,90,13012031,967.52,0
1,91,11022052,400.01,1
1,92,11011011,1165.48,0
1,93,23011031,1288.67,0
1,94,13012012,468.02,0
1,95,21022052,1034.3,1
1,96,11021021,441.76,0
1,97,11061061,2349.25,0
1,98,14012031,459.42,0
1,99,11022022,554.75,0
1,100,24022032,956.99,0
1,101,24021031,1537.13,0
1,102,11061061,865.79,0
1,103,13022022,708.35,0
1,104,11052052,422.66,0
1,105,13031031,483.84,0
1,106,11011011,385.01,0
1,107,11021021,300.03,0
1,108,14032032,461.99,0
1,109,24011022,196.83,0
1,110,14022022,193.34,0
1,111,11061061,716.46,0
1,112,11061092,1882.61,1
1,113,11011011,318.31,0
1,114,11022052,733.13,1
1,115,11051051,1104.84,0
1,116,23011032,526.33,0
1,117,11051051,594.54,0
1,118,14011022,881.81,0
1,119,11061092,1004.99,0
1,120,11061061,1199.56,0
1,121,24022032,1524.01,0
1,122,21022052,1291.22,1
1,123,21011061,1070.07,0
1,124,21061092,1444.27,0
1,125,13032032,336.69,0
1,126,14021031,341.82,0
1,127,13022021,671.95,0
1,128,21011061,903.26,0
1,129,11052052,527.74,0
1,130,23012031,976.64,0
1,131,11022022,1800.52,0
1,132,24011021,897.68,0
1,133,11051051,977.44,0
1,134,11021021,649.84,0
1,135,13012012,469.88,0
1,136,11052052,1261.47,0
1,137,24012031,216.73,0
1,138,14031031,316.62,0
1,139,21022052,369.34,1
1,140,11011011,692.49,0
1,141,11051051,250.19,0
1,142,21061092,2654.23,1
1,143,21011061,814.15,0
1,144,11051051,270.18,0
1,145,13011031,683.16,0
1,146,13011031,268.59,0
1,147,14011011,584.32,0
1,148,13031031,990.61,0
1,149,13021022,1123.05,0
1,150,23012022,476.05,0
1,151,13032032,233.37,0
1,152,14011031,1707.64,1
1,153,14031031,268.12,0
1,154,11021051,1436.86,0
1,155,11052052,126.29,0
1,156,14011032,681.99,1
1,157,11021021,934.39,0
1,158,11092092,773.11,0
1,159,14021022,956.17,0
1,160,11061061,1034.26,0
1,161,13011011,201.75,0
1,162,11092092,118.54,0
1,163,23012031,499.9,0
1,164,11021051,1383.44,1
1,165,11052052,237.49,0
1,166,11011061,283.37,0
1,167,24011022,233.38,0
1,168,11052052,607.17,0
1,169,14011022,566.55,0
1,170,11061092,1232.89,1
1,171,23012032,370.38,0
2,1,1,3436.31,0
2,2,2,338.47,0
2,3,3,716.76,0
2,4,4,410.48,1
2,5,5,1254.51,1
2,6,6,550.18,0
2,7,7,525.92,0
2,8,8,389.66,0
2,9,9,427.64,0
2,10,10,1407.19,0
2,11,11,733.43,0
2,12,11022022,544.05,0
2,13,13011032,405.41,0
2,14,11011011,640.54,0
2,15,13032032,487.6,0
2,16,11052052,378.17,0
2,17,13021022,683.44,1
2,18,11052052,459.53,0
2,19,11022022,583.31,0
2,20,21061092,506.64,0
2,21,11052052,637.96,0
2,22,11011011,640.58,0
2,23,11021051,744.18,1
2,24,11021021,499.91,0
2,25,14022022,627.75,0
2,26,11022022,427.46,0
2,27,11052052,533.25,0
2,28,13012031,406.15,0
2,29,11061061,523.99,0
2,30,14031031,482.12,0
2,31,11011011,465.32,0
2,32,11092092,320.46,0
2,33,23012032,471.61,0
2,34,11022022,453.24,0
2,35,11061061,420.15,0
2,36,11022022,476.73,0
2,37,11061061,334.94,0
2,38,11061061,455.96,0
2,39,23012032,299.2,0
2,40,14032032,466.66,0
2,41,11052052,449.93,0
2,42,13012012,310.33,0
2,43,14022021,533.23,1
2,44,14011032,545.0,1
2,45,21022052,434.61,1
2,46,13032032,377.21,0
2,47,24011021,443.35,0
2,48,23011031,489.9,0
2,49,11022022,533.31,0
2,50,11022052,433.27,1
2,51,11061061,420.6,0
2,52,24022032,321.2,0
2,53,13022021,438.98,1
2,54,14012012,559.06,0
2,55,14022032,716.49,1
2,56,13012012,605.69,0
2,57,13011021,499.91,0
2,58,14022032,677.48,0
2,59,14011021,499.92,0
2,60,11061092,474.99,0
2,61,11092092,602.76,0
2,62,11052052,534.95,0
2,63,24022032,619.57,0
2,64,24011031,1373.84,0
2,65,21022052,323.87,1
2,66,24011021,458.01,0
2,67,21021051,617.95,1
2,68,11051051,307.78,0
2,69,11022022,368.95,0
2,70,11021051,360.7,1
2,71,14021031,404.58,0
2,72,11021021,471.36,0
2,73,21021051,458.22,1
2,74,24012032,435.47,1
2,75,11052052,234.06,0
2,76,14011011,237.12,0
2,77,13022022,183.39,0
2,78,11021021,300.01,0
2,79,23011021,266.69,0
2,80,11052052,170.56,0
2,81,23012032,245.03,0
2,82,11061092,288.13,0
2,83,11011011,274.55,0
2,84,13021021,350.63,0
2,85,11022052,266.55,1
2,86,21011061,499.9,0
2,87,11092092,308.21,0
2,88,14021021,521.98,0
2,89,13011031,318.18,0
2,90,11051051,350.1,0
2,91,11022052,400.89,1
2,92,14031031,499.93,0
2,93,11021021,266.81,0
2,94,21022052,221.39,1
2,95,14011021,283.34,0
2,96,21061092,397.52,0
2,97,14011022,266.73,0
2,98,11021051,540.47,1
2,99,11021021,444.01,0
2,100,11011061,551.54,0
2,101,23011032,426.77,0
2,102,23012031,300.66,0
2,103,21011061,470.41,0
2,104,13011011,566.54,0
2,105,13011031,285.51,0
2,106,11051051,599.86,0
2,107,11061092,387.89,0
2,108,13012022,375.76,0
2,109,11061061,376.92,0
2,110,11021021,585.06,0
2,111,23012031,397.92,1
2,112,13012032,333.33,0
2,113,11061061,494.01,0
2,114,23012022,437.94,0
2,115,24011022,326.81,0
2,116,24011032,883.05,1
2,117,11092092,399.95,0
2,118,11021021,389.92,0
2,119,11051051,317.44,0
2,120,11011011,289.25,0
2,121,21061092,322.31,0
2,122,13021021,383.41,0
2,123,11011061,536.56,0
2,124,11092092,417.54,0
2,125,14012012,350.04,0
2,126,11011011,460.3,0
2,127,11051051,519.07,0
2,128,14021031,308.3,0
2,129,13012031,470.82,1
2,130,21011061,571.95,0
2,131,11011011,401.88,0
2,132,13031031,612.42,0
2,133,14011031,857.23,1
2,134,14022022,459.72,0
2,135,24021031,569.54,0
2,136,13012032,449.98,0
2,137,11051051,625.37,0
2,138,11051051,407.65,0
2,139,24021031,483.4,0
2,140,11011061,499.94,0
2,141,11021021,420.24,0
2,142,14012032,518.64,1
2,143,23011031,616.66,0
2,144,13011011,338.59,0
2,145,11092092,442.44,0
2,146,11011011,319.91,0
2,147,11061092,420.81,0
2,148,13022022,454.16,0
2,149,14011022,501.28,0
2,150,11011061,659.72,0
2,151,24012031,452.5,0
2,152,14011011,590.89,0
2,153,11022022,408.04,0
2,154,11022052,706.11,1
2,155,21011061,478.07,0
2,156,24011022,483.24,0
2,157,21021051,591.21,0
2,158,13031031,566.61,0
2,159,21021051,433.28,0
2,160,11092092,321.24,0
2,161,14021022,287.03,1
2,162,11051051,852.47,0
2,163,21022052,893.59,1
2,164,11061061,899.71,0
2,165,11021051,840.06,1
2,166,13012032,841.17,0
2,167,14021021,533.18,0
2,168,14032032,405.52,0
2,169,14012031,356.03,0
2,170,11092092,354.24,0
2,171,21061092,750.41,0
3,1,1,1145.67,0
3,2,2,690.51,0
3,3,3,577.56,0
3,4,4,773.12,1
3,5,5,583.19,0
3,6,6,675.82,0
3,7,7,549.88,0
3,8,8,1416.12,0
3,9,9,694.39,0
3,10,10,434.73,0
3,11,11,501.9,0
3,12,21021051,406.0,1
3,13,11022022,633.17,0
3,14,14012031,383.26,0
3,15,11022022,383.74,0
3,16,11011011,1283.8,0
3,17,21061092,403.1,0
3,18,14011022,622.61,0
3,19,11022022,466.65,0
3,20,23011032,758.85,0
3,21,21011061,1192.85,0
3,22,21022052,466.61,1
3,23,11011011,833.09,0
3,24,14022022,717.76,0
3,25,23011021,558.69,0
3,26,21011061,2142.64,0
3,27,23012032,1207.4,0
3,28,13011011,1339.64,0
3,29,24011022,533.23,0
3,30,11022052,870.0,1
3,31,11051051,1027.3,0
3,32,11022022,427.15,0
3,33,23012031,1924.23,1
3,34,11052052,1126.39,0
3,35,14022021,986.66,0
3,36,13021021,761.32,0
3,37,11052052,376.98,0
3,38,13032032,642.43,0
3,39,13012031,1090.68,0
3,40,14011031,716.67,1
3,41,11061061,958.65,0
3,42,11092092,433.6,0
3,43,11022022,327.76,0
3,44,11011011,433.71,1
3,45,11052052,291.31,0
3,46,13022021,2232.31,0
3,47,14011021,790.52,0
3,48,11051051,1056.14,0
3,49,11061061,774.34,0
3,50,11092092,350.35,0
3,51,11061061,567.62,0
3,52,11092092,995.11,0
3,53,21022052,1466.38,0
3,54,11052052,599.35,0
3,55,23011031,1466.34,0
3,56,14021022,853.52,0
3,57,21061092,1285.25,0
3,58,11051051,466.57,0
3,59,21011061,859.76,0
3,60,24011032,2065.7,1
3,61,13031031,672.05,0
3,62,24011031,1299.51,1
3,63,23012032,716.52,0
3,64,14021031,466.59,0
3,65,24021031,583.8,0
3,66,21061092,1934.59,0
3,67,11051051,719.31,0
3,68,23011031,405.67,0
3,69,13012022,303.97,0
3,70,11052052,277.08,0
3,71,11061092,325.88,0
3,72,11061061,799.76,0
3,73,11021051,503.69,1
3,74,24011022,167.35,0
3,75,13032032,142.47,0
3,76,11092092,39.22,0
3,77,14011032,669.3,1
3,78,21021051,938.4,1
3,79,11051051,2382.3,0
3,80,14021021,364.11,0
3,81,11021021,536.22,0
3,82,11021021,378.78,0
3,83,14021021,157.69,0
3,84,11011011,200.19,0
3,85,14012032,523.27,1
3,86,13012032,258.9,0
3,87,11061092,394.35,0
3,88,14012012,268.22,0
3,89,14031031,291.07,0
3,90,11061061,156.32,0
3,91,11021051,228.22,1
3,92,11061092,183.39,0
3,93,11011011,393.1,0
3,94,11011061,319.42,0
3,95,11051051,283.36,0
3,96,14011011,309.26,0
3,97,13012032,133.43,0
3,98,13011011,338.47,0
3,99,11092092,256.33,0
3,100,21021051,526.11,1
3,101,11021021,239.29,0
3,102,13012012,66.81,0
3,103,13011021,283.36,0
3,104,11061061,2272.84,0
3,105,14022032,181.96,0
3,106,24012032,1951.79,1
3,107,11022052,560.45,1
3,108,13022022,290.8,0
3,109,13012012,122.64,0
3,110,11021051,374.66,1
3,111,13011031,166.33,0
3,112,14031031,849.75,0
3,113,11021021,1501.17,0
3,114,21061092,1621.94,0
3,115,11061061,324.73,0
3,116,11092092,236.21,0
3,117,11011061,1339.62,0
3,118,11092092,141.99,0
3,119,14011011,241.34,0
3,120,13031031,235.77,0
3,121,11022052,1876.23,1
3,122,14012012,171.55,0
3,123,21021051,596.2,1
3,124,11061061,565.85,1
3,125,21011061,999.73,0
3,126,11061092,761.2,0
3,127,11022022,220.6,0
3,128,14011022,321.38,0
3,129,13012032,366.66,0
3,130,14032032,133.45,0
3,131,13021022,948.08,0
3,132,14022022,176.02,0
3,133,24011021,266.71,0
3,134,11052052,300.23,0
3,135,11022022,566.6,0
3,136,11011011,1832.58,0
3,137,11021051,2475.83,0
3,138,24022032,514.54,0
3,139,11011061,1395.36,0
3,140,11011061,377.26,0
3,141,23012032,599.86,0
3,142,24012031,438.13,0
3,143,11021021,251.62,0
3,144,11022052,1430.42,0
3,145,11021021,350.21,0
3,146,14022032,187.0,0
3,147,23012022,357.76,0
3,148,21022052,200.06,1
3,149,11021021,384.36,0
3,150,14011021,1189.53,0
3,151,11092092,259.81,0
3,152,14021031,1032.98,1
3,153,11051051,436.09,0
3,154,11052052,384.95,0
3,155,11052052,100.17,0
3,156,13022022,127.23,0
3,157,11011011,799.78,0
3,158,13011031,281.01,0
3,159,24021031,1040.36,1
3,160,23012031,329.95,0
3,161,21022052,908.4,0
3,162,11021021,266.71,0
3,163,14032032,387.65,0
